HourRange,TotalPassengerCount,AverageWait
1700 - 1800,1486,28
1800 - 1900,2354,26
1900 - 2000,376,20
2000 - 2100,2963,28
2100 - 2200,1771,32
2200 - 2300,1178,25
2300 - 0000,462,15
0500 - 0600,650,17
0600 - 0700,1368,21
0700 - 0800,1476,29
0800 - 0900,1000,25
0900 - 1000,1465,37
1000 - 1100,1500,26
1100 - 1200,2262,19
1200 - 1300,1890,17
1300 - 1400,2847,32
1400 - 1500,1139,16
1500 - 1600,2043,15
1600 - 1700,2853,13
1700 - 1800,1894,18
1800 - 1900,1140,12
1900 - 2000,1481,13
2000 - 2100,3093,35
2100 - 2200,1174,41
2200 - 2300,622,32
2300 - 0000,879,22
0500 - 0600,1247,28
0600 - 0700,829,21
0700 - 0800,1891,48
0800 - 0900,872,41
0900 - 1000,1054,51
1000 - 1100,1560,34
1100 - 1200,960,25
1200 - 1300,2649,30
1300 - 1400,3503,48
1400 - 1500,2114,46
1500 - 1600,1443,41
1600 - 1700,2217,41
1700 - 1800,1854,14
1800 - 1900,1519,16
1900 - 2000,701,21
2000 - 2100,1790,27
2100 - 2200,1053,23
2200 - 2300,913,20
2300 - 0000,1177,20
0500 - 0600,1114,20
0600 - 0700,1208,19
0700 - 0800,843,28
0800 - 0900,204,27
0900 - 1000,1481,40
1000 - 1100,1658,53
1100 - 1200,1267,45
1200 - 1300,1306,39
1300 - 1400,2848,61
1400 - 1500,1210,44
1500 - 1600,1792,49
1600 - 1700,1740,44
1700 - 1800,1427,31
1800 - 1900,1563,28
2000 - 2100,1915,35
2100 - 2200,578,43
2200 - 2300,818,25
2300 - 0000,715,14
0500 - 0600,1100,25
0600 - 0700,1412,25
0700 - 0800,956,48
0800 - 0900,930,62
0900 - 1000,1721,76
1000 - 1100,1264,58
1100 - 1200,1035,39
1200 - 1300,1967,36
1300 - 1400,4257,59
1400 - 1500,990,61
1500 - 1600,2631,61
1600 - 1700,1959,57
1700 - 1800,466,24
1800 - 1900,2391,22
1900 - 2000,1298,23
2000 - 2100,1529,22
2100 - 2200,1181,17
2200 - 2300,693,22
2300 - 0000,1077,37
0500 - 0600,201,41
0600 - 0700,1923,54
0700 - 0800,694,59
0800 - 0900,1434,55
0900 - 1000,369,55
1000 - 1100,1622,65
1100 - 1200,1527,78
1200 - 1300,2422,70
1300 - 1400,2501,78
1400 - 1500,1611,60
1500 - 1600,1707,61
1600 - 1700,2965,55
1700 - 1800,2235,66
1800 - 1900,911,46
1900 - 2000,318,38
2000 - 2100,1906,18
2100 - 2200,1198,30
2200 - 2300,913,27
2300 - 0000,1001,24
0500 - 0600,833,45
0600 - 0700,1945,49
0700 - 0800,799,76
0800 - 0900,637,52
0900 - 1000,487,40
1000 - 1100,926,31
1100 - 1200,1801,24
1200 - 1300,1249,29
1300 - 1400,3330,53
1400 - 1500,2225,46
1500 - 1600,2140,47
1600 - 1700,2379,39
1700 - 1800,1016,18
1800 - 1900,1529,15
1900 - 2000,934,24
2000 - 2100,2002,20
2100 - 2200,838,29
2200 - 2300,860,18
2300 - 0000,845,19
0500 - 0600,517,29
0600 - 0700,1452,16
0700 - 0800,1270,29
0800 - 0900,910,26
0900 - 1000,1206,22
1000 - 1100,1348,24
1100 - 1200,1749,28
1200 - 1300,1300,12
1300 - 1400,2481,30
1400 - 1500,1800,23
1500 - 1600,1891,15
1600 - 1700,2816,17
1700 - 1800,1511,21
1800 - 1900,1807,10
1900 - 2000,856,16
2000 - 2100,2064,18
2100 - 2200,1719,27
2200 - 2300,909,25
2300 - 0000,476,16
0500 - 0600,425,27
0600 - 0700,1994,19
0700 - 0800,889,28
0800 - 0900,675,15
0900 - 1000,1315,23
1000 - 1100,1557,20
1100 - 1200,1874,29
1200 - 1300,1742,18
1300 - 1400,3004,28
1400 - 1500,1571,24
1500 - 1600,2028,22
1600 - 1700,2747,15
1700 - 1800,2199,18
1800 - 1900,1402,18
1900 - 2000,1048,14
2000 - 2100,1298,17
2100 - 2200,1790,22
2200 - 2300,630,22
2300 - 0000,860,13
0500 - 0600,154,21
0600 - 0700,1657,13
0700 - 0800,1623,37
0800 - 0900,890,23
0900 - 1000,1117,24
1000 - 1100,839,19
1100 - 1200,1728,14
1200 - 1300,1661,17
1300 - 1400,3577,39
1400 - 1500,1179,36
1500 - 1600,1407,33
1600 - 1700,979,24
1700 - 1800,1912,21
1800 - 1900,1445,19
1900 - 2000,733,16
2000 - 2100,1637,23
2100 - 2200,1513,36
2200 - 2300,776,22
2300 - 0000,751,21
0500 - 0600,1179,35
0600 - 0700,591,28
0700 - 0800,654,27
0800 - 0900,390,12
0900 - 1000,1361,26
1000 - 1100,823,19
1100 - 1200,703,15
1200 - 1300,2000,16
1300 - 1400,2577,38
1400 - 1500,361,18
1500 - 1600,1170,34
1600 - 1700,2554,28
1700 - 1800,750,12
1800 - 1900,1057,9
1900 - 2000,150,12
2000 - 2100,1736,27
2100 - 2200,822,26
2200 - 2300,977,25
2300 - 0000,544,28
0500 - 0600,536,37
0600 - 0700,1903,49
0700 - 0800,649,56
0800 - 0900,670,48
0900 - 1000,1553,68
1000 - 1100,791,43
1100 - 1200,1008,23
1200 - 1300,2370,27
1300 - 1400,1908,37
1400 - 1500,2148,46
1500 - 1600,1463,41
1600 - 1700,1699,35
1700 - 1800,938,16
1800 - 1900,2088,24
1900 - 2000,310,26
2000 - 2100,1410,18
2100 - 2200,525,20
2200 - 2300,551,17
2300 - 0000,735,26
0500 - 0600,713,36
0600 - 0700,1324,32
0700 - 0800,793,40
0800 - 0900,778,48
0900 - 1000,1073,45
1000 - 1100,1684,41
1100 - 1200,815,35
1200 - 1300,2140,32
1300 - 1400,1321,43
1400 - 1500,1871,33
1500 - 1600,1991,38
1600 - 1700,1749,32
1700 - 1800,1079,28
1800 - 1900,588,12
1900 - 2000,1140,32
2000 - 2100,1628,37
2100 - 2200,986,38
2200 - 2300,1204,50
2300 - 0000,428,46
0500 - 0600,1049,43
0600 - 0700,1082,36
0700 - 0800,1440,57
0800 - 0900,356,40
0900 - 1000,1288,51
1000 - 1100,1093,47
1100 - 1200,1155,26
1200 - 1300,847,14
1300 - 1400,2478,24
1400 - 1500,2440,36
1500 - 1600,1752,24
1600 - 1700,1200,16
1700 - 1800,1816,14
1800 - 1900,1331,14
1900 - 2000,1656,28
2000 - 2100,1074,42
2100 - 2200,1190,63
2200 - 2300,993,48
2300 - 0000,728,54
0000 - 0100,141,46
0500 - 0600,498,27
0600 - 0700,999,15
0700 - 0800,1395,28
0800 - 0900,985,26
0900 - 1000,1049,37
1000 - 1100,1112,33
1100 - 1200,981,16
1200 - 1300,1786,15
1300 - 1400,2971,46
1400 - 1500,1475,40
1500 - 1600,1864,34
1600 - 1700,2532,29
1700 - 1800,1619,25
1800 - 1900,2018,15
1900 - 2000,1046,21
2000 - 2100,1606,20
2100 - 2200,1552,32
2200 - 2300,626,20
2300 - 0000,618,18
0500 - 0600,836,39
0600 - 0700,1547,30
0700 - 0800,898,42
0800 - 0900,1008,42
0900 - 1000,922,35
1000 - 1100,1735,30
1100 - 1200,585,19
1200 - 1300,1930,16
1300 - 1400,2936,26
1400 - 1500,2008,37
1500 - 1600,2047,23
1600 - 1700,2375,27
1700 - 1800,1421,16
1800 - 1900,1614,14
1900 - 2000,1327,21
2000 - 2100,2031,29
2100 - 2200,1064,16
2200 - 2300,1276,18
2300 - 0000,355,15
0500 - 0600,802,27
0600 - 0700,2193,32
0700 - 0800,792,46
0800 - 0900,572,33
0900 - 1000,1376,52
1000 - 1100,1407,48
1100 - 1200,847,34
1200 - 1300,1938,35
1300 - 1400,2726,49
1400 - 1500,1285,46
1500 - 1600,1807,49
1600 - 1700,2097,45
1700 - 1800,1463,29
1800 - 1900,1738,26
1900 - 2000,1011,35
2000 - 2100,1510,33
2100 - 2200,1028,30
2200 - 2300,473,17
2300 - 0000,882,21
0500 - 0600,669,23
0600 - 0700,791,16
0700 - 0800,697,13
0800 - 0900,983,24
0900 - 1000,1098,45
1000 - 1100,927,45
1100 - 1200,1181,41
1200 - 1300,1543,39
1300 - 1400,2543,44
1400 - 1500,1225,43
1500 - 1600,964,23
1600 - 1700,2242,19
1700 - 1800,817,9
1800 - 1900,1056,8
1900 - 2000,553,33
2000 - 2100,1275,34
2100 - 2200,1065,30
2200 - 2300,882,17
2300 - 0000,559,16
0500 - 0600,969,34
0600 - 0700,1422,27
0700 - 0800,1231,41
0800 - 0900,340,26
0900 - 1000,1392,29
1000 - 1100,1216,34
1100 - 1200,933,30
1200 - 1300,1616,30
1300 - 1400,3251,39
1400 - 1500,1805,38
1500 - 1600,1575,33
1600 - 1700,2343,36
1700 - 1800,732,14
1800 - 1900,2168,14
1900 - 2000,685,27
2000 - 2100,1318,15
2100 - 2200,840,18
2200 - 2300,1084,17
2300 - 0000,146,13
0500 - 0600,860,24
0600 - 0700,1284,23
0700 - 0800,1260,28
0800 - 0900,475,20
0900 - 1000,748,26
1000 - 1100,2031,35
1100 - 1200,1547,31
1200 - 1300,1287,30
1300 - 1400,3181,47
1400 - 1500,843,44
1500 - 1600,2085,45
1600 - 1700,2441,46
1700 - 1800,1398,35
1800 - 1900,1106,21
1900 - 2000,410,11
2000 - 2100,2016,42
2100 - 2200,1103,45
2200 - 2300,611,38
2300 - 0000,464,32
0500 - 0600,208,23
0600 - 0700,2340,36
0700 - 0800,1479,71
0800 - 0900,332,57
0900 - 1000,1212,49
1000 - 1100,1432,50
1100 - 1200,1493,60
1200 - 1300,1617,39
1300 - 1400,3299,51
1400 - 1500,1763,53
1500 - 1600,1104,46
1600 - 1700,3010,42
1700 - 1800,1311,29
1800 - 1900,1407,30
1900 - 2000,694,34
2000 - 2100,1862,38
2100 - 2200,927,38
2200 - 2300,1247,25
2300 - 0000,651,20
0500 - 0600,1529,33
0600 - 0700,868,30
0700 - 0800,598,16
0800 - 0900,929,15
0900 - 1000,1595,38
1000 - 1100,1453,47
1100 - 1200,1209,40
1200 - 1300,1583,29
1300 - 1400,3056,41
1400 - 1500,1108,24
1500 - 1600,1893,17
1600 - 1700,2552,25
1700 - 1800,1509,13
1800 - 1900,1924,20
1900 - 2000,746,19
2000 - 2100,1601,17
2100 - 2200,1525,15
2200 - 2300,967,22
2300 - 0000,523,19
0500 - 0600,489,36
0600 - 0700,1808,17
0700 - 0800,1080,25
0800 - 0900,501,12
0900 - 1000,1414,23
1000 - 1100,1174,17
1100 - 1200,1629,12
1200 - 1300,1750,11
1300 - 1400,3712,20
1400 - 1500,1085,15
1500 - 1600,1846,9
1600 - 1700,2689,13
1700 - 1800,1742,11
1800 - 1900,1473,14
1900 - 2000,913,9
2000 - 2100,1686,21
2100 - 2200,1723,34
2200 - 2300,1430,23
2300 - 0000,345,19
0500 - 0600,1000,33
0600 - 0700,1674,43
0700 - 0800,367,48
0800 - 0900,1551,57
0900 - 1000,840,74
1000 - 1100,1245,45
1100 - 1200,906,32
1200 - 1300,2330,31
1300 - 1400,1355,26
1400 - 1500,2420,34
1500 - 1600,1963,23
1600 - 1700,2235,20
1700 - 1800,1202,11
1800 - 1900,1488,16
1900 - 2000,894,13
2000 - 2100,1225,15
2100 - 2200,1204,17
2200 - 2300,633,15
2300 - 0000,68,9
0000 - 0100,244,7
0500 - 0600,848,27
0600 - 0700,845,22
0700 - 0800,489,10
0800 - 0900,689,16
0900 - 1000,1274,19
1000 - 1100,556,13
1100 - 1200,709,12
1200 - 1300,1805,15
1300 - 1400,1925,23
1400 - 1500,1626,15
1500 - 1600,1271,14
1600 - 1700,2230,16
1700 - 1800,1175,11
1800 - 1900,870,10
1900 - 2000,896,22
2000 - 2100,1405,32
2100 - 2200,883,25
2200 - 2300,879,18
2300 - 0000,299,17
0500 - 0600,586,20
0600 - 0700,1317,19
0700 - 0800,982,30
0800 - 0900,750,16
0900 - 1000,870,18
1000 - 1100,814,20
1100 - 1200,1225,13
1200 - 1300,1618,22
1300 - 1400,2744,34
1400 - 1500,985,44
1500 - 1600,1636,32
1600 - 1700,2012,35
1700 - 1800,1210,21
1800 - 1900,1331,14
1900 - 2000,916,22
2000 - 2100,1149,17
2100 - 2200,1108,20
2200 - 2300,624,17
2300 - 0000,481,20
0500 - 0600,1315,31
0600 - 0700,686,33
0700 - 0800,1046,20
0800 - 0900,754,24
0900 - 1000,1173,25
1000 - 1100,553,20
1100 - 1200,1848,14
1200 - 1300,1596,16
1300 - 1400,1804,19
1400 - 1500,1805,17
1500 - 1600,1250,14
1600 - 1700,2128,20
1700 - 1800,1225,9
1800 - 1900,1225,14
1900 - 2000,672,17
2000 - 2100,1628,17
2100 - 2200,947,31
2200 - 2300,1050,30
2300 - 0000,574,26
0500 - 0600,342,16
0600 - 0700,2360,30
0700 - 0800,615,30
0800 - 0900,304,20
0900 - 1000,986,21
1000 - 1100,1016,21
1100 - 1200,1060,17
1200 - 1300,2288,22
1300 - 1400,1778,26
1400 - 1500,2072,23
1500 - 1600,1768,16
1600 - 1700,2183,25
1700 - 1800,1106,17
1800 - 1900,1919,15
1900 - 2000,911,21
2000 - 2100,1597,30
2100 - 2200,1492,32
2200 - 2300,841,46
2300 - 0000,263,31
0500 - 0600,823,22
0600 - 0700,1154,23
0700 - 0800,737,22
0800 - 0900,384,12
0900 - 1000,891,19
1000 - 1100,1479,23
1100 - 1200,581,16
1200 - 1300,2259,23
1300 - 1400,3097,39
1400 - 1500,1851,30
1500 - 1600,1792,24
1600 - 1700,2563,24
1700 - 1800,1335,15
1800 - 1900,2098,17
1900 - 2000,340,15
2000 - 2100,2187,26
2100 - 2200,1349,25
2200 - 2300,307,19
2300 - 0000,631,24
0500 - 0600,692,28
0600 - 0700,1509,21
0700 - 0800,793,35
0800 - 0900,706,24
0900 - 1000,788,28
1000 - 1100,1272,25
1100 - 1200,2099,22
1200 - 1300,2743,29
1300 - 1400,1729,27
1400 - 1500,2725,25
1500 - 1600,1965,21
1600 - 1700,2455,17
1700 - 1800,1566,14
1800 - 1900,1818,15
1900 - 2000,1323,21
2000 - 2100,1698,19
2100 - 2200,1191,17
2200 - 2300,1088,14
2300 - 0000,673,16
0500 - 0600,549,34
0600 - 0700,2062,44
0700 - 0800,1050,43
0800 - 0900,322,27
0900 - 1000,1682,33
1000 - 1100,1143,19
1100 - 1200,1341,14
1200 - 1300,2468,15
1300 - 1400,1875,24
1400 - 1500,2957,29
1500 - 1600,2125,19
1600 - 1700,2087,16
1700 - 1800,2596,12
1800 - 1900,1070,13
1900 - 2000,1340,15
2000 - 2100,1572,18
2100 - 2200,1169,14
2200 - 2300,1267,17
2300 - 0000,525,12
0500 - 0600,431,37
0600 - 0700,1325,20
0700 - 0800,868,18
0800 - 0900,698,22
0900 - 1000,828,17
1000 - 1100,1193,16
1100 - 1200,796,12
1200 - 1300,1816,17
1300 - 1400,2379,23
1400 - 1500,1715,20
1500 - 1600,1567,12
1600 - 1700,1164,12
1700 - 1800,1468,13
1800 - 1900,1415,8
1900 - 2000,963,18
2000 - 2100,912,19
2100 - 2200,1548,20
2200 - 2300,924,13
2300 - 0000,540,13
0500 - 0600,839,29
0600 - 0700,1671,36
0700 - 0800,1008,54
0800 - 0900,546,43
0900 - 1000,1471,48
1000 - 1100,896,35
1100 - 1200,978,28
1200 - 1300,2220,18
1300 - 1400,2279,32
1400 - 1500,1789,33
1500 - 1600,2704,32
1600 - 1700,1276,23
1700 - 1800,1116,21
1800 - 1900,2462,18
1900 - 2000,316,15
2000 - 2100,1408,15
2100 - 2200,1328,21
2200 - 2300,1017,21
2300 - 0000,338,23
0500 - 0600,743,33
0600 - 0700,1094,20
0700 - 0800,975,17
0800 - 0900,1137,20
0900 - 1000,1095,21
1000 - 1100,1416,20
1100 - 1200,1685,21
1200 - 1300,1859,19
1300 - 1400,1660,20
1400 - 1500,1942,19
1500 - 1600,1830,19
1600 - 1700,2450,34
1700 - 1800,1564,26
1800 - 1900,894,16
1900 - 2000,941,19
2000 - 2100,1628,43
2100 - 2200,1752,51
2200 - 2300,710,55
2300 - 0000,293,38
0500 - 0600,458,25
0600 - 0700,1411,21
0700 - 0800,1612,35
0800 - 0900,741,26
0900 - 1000,1099,24
1000 - 1100,715,30
1100 - 1200,1954,29
1200 - 1300,2477,35
1300 - 1400,2780,49
1400 - 1500,1345,36
1500 - 1600,1039,32
1600 - 1700,2924,46
1700 - 1800,2261,48
1800 - 1900,1646,40
1900 - 2000,766,41
2000 - 2100,2063,38
2100 - 2200,1353,42
2200 - 2300,1243,36
2300 - 0000,405,44
0600 - 0700,1879,17
0700 - 0800,736,32
0800 - 0900,1130,15
0900 - 1000,1210,18
1000 - 1100,2094,41
1100 - 1200,1144,46
1200 - 1300,2296,35
1300 - 1400,2715,46
1400 - 1500,1969,33
1500 - 1600,2420,33
1600 - 1700,1820,34
1700 - 1800,1436,30
1800 - 1900,2187,26
1900 - 2000,877,32
2000 - 2100,1980,24
2100 - 2200,1263,31
2200 - 2300,1388,27
2300 - 0000,337,28
0500 - 0600,657,26
0600 - 0700,1700,21
0700 - 0800,1344,26
0800 - 0900,396,15
0900 - 1000,1156,16
1000 - 1100,1920,20
1100 - 1200,1067,23
1200 - 1300,2595,20
1300 - 1400,2208,22
1400 - 1500,2481,18
1500 - 1600,2422,15
1600 - 1700,2398,15
1700 - 1800,1670,12
1800 - 1900,1912,15
1900 - 2000,1001,19
2000 - 2100,2375,32
2100 - 2200,1579,34
2200 - 2300,1129,36
2300 - 0000,317,29
0500 - 0600,539,31
0600 - 0700,1362,27
0700 - 0800,1141,40
0800 - 0900,1042,30
0900 - 1000,1018,34
1000 - 1100,910,38
1100 - 1200,1309,16
1200 - 1300,1902,17
1300 - 1400,2578,18
1400 - 1500,2193,26
1500 - 1600,1539,20
1600 - 1700,3244,23
1700 - 1800,1552,21
1800 - 1900,1296,17
1900 - 2000,1470,30
2000 - 2100,1069,27
2100 - 2200,1166,26
2200 - 2300,990,22
2300 - 0000,559,19
0500 - 0600,737,26
0600 - 0700,1268,32
0700 - 0800,701,27
0800 - 0900,414,27
0900 - 1000,1549,21
1000 - 1100,711,25
1100 - 1200,1072,17
1200 - 1300,1719,14
1300 - 1400,1704,25
1400 - 1500,883,29
1500 - 1600,2209,11
1600 - 1700,1730,16
1700 - 1800,1988,19
1800 - 1900,1311,13
1900 - 2000,671,11
2000 - 2100,1193,17
2100 - 2200,1211,24
2200 - 2300,1233,26
2300 - 0000,131,16
0500 - 0600,421,30
0600 - 0700,1769,37
0700 - 0800,770,35
0800 - 0900,440,28
0900 - 1000,1595,29
1000 - 1100,735,23
1100 - 1200,1563,45
1200 - 1300,1604,44
1300 - 1400,2912,44
1400 - 1500,1222,47
1500 - 1600,1275,33
1600 - 1700,2115,25
1700 - 1800,1868,17
1800 - 1900,1181,20
1900 - 2000,680,15
2000 - 2100,1372,14
2100 - 2200,1356,20
2200 - 2300,525,16
2300 - 0000,293,21
0500 - 0600,742,34
0600 - 0700,986,27
0700 - 0800,528,9
0800 - 0900,585,13
0900 - 1000,782,15
1000 - 1100,1269,19
1100 - 1200,1101,13
1200 - 1300,2072,15
1300 - 1400,2227,26
1400 - 1500,1801,25
1500 - 1600,1214,17
1600 - 1700,2393,22
1700 - 1800,1855,25
1800 - 1900,948,13
1900 - 2000,961,18
2000 - 2100,768,20
2100 - 2200,1786,23
2200 - 2300,749,23
2300 - 0000,382,22
0500 - 0600,1170,34
0600 - 0700,1471,38
0700 - 0800,381,38
0800 - 0900,494,9
0900 - 1000,1081,18
1000 - 1100,1247,15
1100 - 1200,1220,12
1200 - 1300,1755,18
1300 - 1400,1914,17
1400 - 1500,2775,23
1500 - 1600,1855,16
1600 - 1700,1787,19
1700 - 1800,1344,13
1800 - 1900,918,18
1900 - 2000,1821,25
2000 - 2100,734,18
2100 - 2200,1891,26
2200 - 2300,958,20
2300 - 0000,234,18
0500 - 0600,706,24
0600 - 0700,679,19
0700 - 0800,1261,23
0800 - 0900,939,13
0900 - 1000,801,16
1000 - 1100,973,12
1100 - 1200,1826,14
1200 - 1300,1888,15
1300 - 1400,2520,22
1400 - 1500,1847,26
1500 - 1600,2572,26
1600 - 1700,1679,19
1700 - 1800,2298,23
1800 - 1900,1063,16
1900 - 2000,1481,28
2000 - 2100,375,13
2100 - 2200,2787,25
2200 - 2300,746,24
2300 - 0000,530,23
0500 - 0600,334,36
0600 - 0700,1082,10
0700 - 0800,830,25
0800 - 0900,625,16
0900 - 1000,1391,21
1000 - 1100,638,18
1100 - 1200,2468,22
1200 - 1300,2503,16
1300 - 1400,2417,22
1400 - 1500,1418,26
1500 - 1600,1845,15
1600 - 1700,2002,11
1700 - 1800,2761,18
1800 - 1900,1094,12
1900 - 2000,2204,17
2000 - 2100,1711,25
2100 - 2200,1602,21
2200 - 2300,1164,12
2300 - 0000,433,11
0500 - 0600,813,34
0600 - 0700,1074,29
0700 - 0800,1239,43
0800 - 0900,338,20
0900 - 1000,1406,27
1000 - 1100,817,26
1100 - 1200,1118,14
1200 - 1300,2682,16
1300 - 1400,1763,13
1400 - 1500,2083,17
1500 - 1600,1944,17
1600 - 1700,2180,16
1700 - 1800,1933,16
1800 - 1900,928,14
1900 - 2000,2203,32
2000 - 2100,1018,21
2100 - 2200,1132,21
2200 - 2300,997,14
2300 - 0000,392,14
0500 - 0600,1283,31
0600 - 0700,701,22
0700 - 0800,578,23
0800 - 0900,416,17
0900 - 1000,1216,18
1000 - 1100,869,25
1100 - 1200,1059,13
1200 - 1300,1160,10
1300 - 1400,2114,20
1400 - 1500,1888,23
1500 - 1600,1872,14
1600 - 1700,1995,15
1700 - 1800,1169,10
1800 - 1900,1143,12
1900 - 2000,541,21
2000 - 2100,2087,30
2100 - 2200,1189,26
2200 - 2300,736,26
2300 - 0000,381,15
0500 - 0600,614,28
0600 - 0700,1088,21
0700 - 0800,942,35
0800 - 0900,637,20
0900 - 1000,934,22
1000 - 1100,1040,27
1100 - 1200,1341,13
1200 - 1300,1243,13
1300 - 1400,3339,22
1400 - 1500,1483,23
1500 - 1600,1183,15
1600 - 1700,2598,16
1700 - 1800,1189,26
1800 - 1900,1060,8
1900 - 2000,1393,19
2000 - 2100,1247,15
2100 - 2200,1074,22
2200 - 2300,893,17
2300 - 0000,688,19
0500 - 0600,594,32
0600 - 0700,1135,36
0700 - 0800,1251,67
0800 - 0900,556,48
0900 - 1000,957,52
1000 - 1100,1464,47
1100 - 1200,964,43
1200 - 1300,1845,31
1300 - 1400,2158,33
1400 - 1500,2138,32
1500 - 1600,1509,21
1600 - 1700,2372,19
1700 - 1800,1530,9
1800 - 1900,791,11
1900 - 2000,1473,20
2000 - 2100,1514,23
2100 - 2200,1489,21
2200 - 2300,438,16
2300 - 0000,487,11
0500 - 0600,777,35
0600 - 0700,871,21
0700 - 0800,1468,36
0800 - 0900,544,15
0900 - 1000,844,15
1000 - 1100,1579,13
1100 - 1200,1648,13
1200 - 1300,1592,14
1300 - 1400,2309,21
1400 - 1500,2018,21
1500 - 1600,2560,29
1600 - 1700,2649,29
1700 - 1800,217,42
1800 - 1900,1505,17
1900 - 2000,1477,18
2000 - 2100,1967,17
2100 - 2200,1012,18
2200 - 2300,1897,25
2300 - 0000,635,32
0500 - 0600,523,21
0600 - 0700,857,14
0700 - 0800,1248,21
0800 - 0900,1053,17
0900 - 1000,1534,31
1000 - 1100,957,41
1100 - 1200,1596,43
1200 - 1300,2092,28
1300 - 1400,2225,31
1400 - 1500,2405,34
1500 - 1600,1806,32
1600 - 1700,2868,34
1700 - 1800,2107,31
1800 - 1900,1697,27
1900 - 2000,964,35
2000 - 2100,2567,30
2100 - 2200,1496,31
2200 - 2300,1570,22
2300 - 0000,557,14
0500 - 0600,1046,36
0600 - 0700,862,34
0700 - 0800,642,28
0800 - 0900,1116,35
0900 - 1000,711,36
1000 - 1100,1944,33
1100 - 1200,2292,35
1200 - 1300,1581,23
1300 - 1400,2042,18
1400 - 1500,2369,17
1500 - 1600,2566,15
1600 - 1700,1823,11
1700 - 1800,2991,15
1800 - 1900,1915,15
1900 - 2000,982,15
2000 - 2100,2336,25
2100 - 2200,1715,29
2200 - 2300,1395,24
2300 - 0000,509,18
0500 - 0600,672,29
0600 - 0700,1139,20
0700 - 0800,678,15
0800 - 0900,902,14
0900 - 1000,777,20
1000 - 1100,1632,19
1100 - 1200,1149,14
1200 - 1300,1757,14
1300 - 1400,2832,17
1400 - 1500,1401,17
1500 - 1600,2509,17
1600 - 1700,2629,23
1700 - 1800,1448,19
1800 - 1900,1576,12
1900 - 2000,1099,18
2000 - 2100,2386,21
2100 - 2200,1341,28
2200 - 2300,1259,20
2300 - 0000,630,19
0500 - 0600,587,19
0600 - 0700,1053,18
0700 - 0800,981,26
0800 - 0900,1078,18
0900 - 1000,1058,24
1000 - 1100,963,23
1100 - 1200,813,16
1200 - 1300,2114,16
1300 - 1400,1548,16
1400 - 1500,1808,18
1500 - 1600,1854,13
1600 - 1700,2485,16
1700 - 1800,1478,8
1800 - 1900,1363,12
1900 - 2000,567,11
2000 - 2100,2314,20
2100 - 2200,1655,24
2200 - 2300,528,18
2300 - 0000,398,11
0500 - 0600,545,34
0600 - 0700,1633,40
0700 - 0800,1011,62
0800 - 0900,899,52
0900 - 1000,1102,63
1000 - 1100,1101,50
1100 - 1200,1245,47
1200 - 1300,1996,37
1300 - 1400,1760,34
1400 - 1500,2405,28
1500 - 1600,1553,25
1600 - 1700,2505,26
1700 - 1800,1504,22
1800 - 1900,1664,14
1900 - 2000,1946,19
2000 - 2100,1328,14
2100 - 2200,1566,17
2200 - 2300,873,21
2300 - 0000,215,18
0500 - 0600,406,23
0600 - 0700,1180,27
0700 - 0800,1270,51
0800 - 0900,723,47
0900 - 1000,681,40
1000 - 1100,2226,37
1100 - 1200,942,31
1200 - 1300,1229,19
1300 - 1400,2580,31
1400 - 1500,1909,22
1500 - 1600,1999,18
1600 - 1700,3618,25
1700 - 1800,1084,27
1800 - 1900,1295,13
1900 - 2000,1258,16
2000 - 2100,2411,16
2100 - 2200,1040,16
2200 - 2300,1132,18
2300 - 0000,625,18
0500 - 0600,540,24
0600 - 0700,1683,41
0700 - 0800,1007,74
0800 - 0900,636,41
0900 - 1000,702,47
1000 - 1100,1546,29
1100 - 1200,982,29
1200 - 1300,2192,23
1300 - 1400,2770,33
1400 - 1500,1945,28
1500 - 1600,3626,51
1600 - 1700,2617,51
1700 - 1800,1889,36
1800 - 1900,1272,23
1900 - 2000,1404,21
2000 - 2100,1657,15
2100 - 2200,2088,28
2200 - 2300,1466,25
2300 - 0000,431,26
0500 - 0600,829,29
0600 - 0700,1235,19
0700 - 0800,1069,24
0800 - 0900,904,12
0900 - 1000,882,22
1000 - 1100,1266,29
1100 - 1200,1621,18
1200 - 1300,2617,14
1300 - 1400,1442,21
1400 - 1500,3069,18
1500 - 1600,3025,17
1600 - 1700,2522,20
1700 - 1800,1557,15
1800 - 1900,2395,12
1900 - 2000,962,16
2000 - 2100,2522,19
2100 - 2200,1795,25
2200 - 2300,1482,23
2300 - 0000,419,18
0500 - 0600,234,31
0600 - 0700,1185,12
0700 - 0800,1054,13
0800 - 0900,540,8
0900 - 1000,541,18
1000 - 1100,1619,27
1100 - 1200,2392,34
1200 - 1300,2327,17
1300 - 1400,2078,22
1400 - 1500,3238,15
1500 - 1600,2126,11
1600 - 1700,2962,18
1700 - 1800,2523,10
1800 - 1900,2284,15
1900 - 2000,1562,17
2000 - 2100,1973,16
2100 - 2200,1894,21
2200 - 2300,922,17
2300 - 0000,499,12
0500 - 0600,388,39
0600 - 0700,1904,34
0700 - 0800,427,39
0800 - 0900,1105,45
0900 - 1000,1689,38
1000 - 1100,1251,34
1100 - 1200,1285,15
1200 - 1300,2096,17
1300 - 1400,2601,15
1400 - 1500,2888,19
1500 - 1600,2027,23
1600 - 1700,3008,24
